название;категория;цена;состав;аллергены;вес;время отдачи;острота
Плов по-фергански;Горячее;520;рис девзира, баранина, морковь красная и жёлтая, лук, зира, барбарис, чеснок;нет;400;25;0
Плов по-самаркандски;Горячее;540;рис лазер, телятина, морковь, лук, изюм, курага, кориандр;нет;400;25;0
Плов свадебный с казы;Горячее;760;рис девзира, баранина, казы, морковь, изюм, кишмиш, зира;нет;450;30;0
Лагман уйгурский;Горячее;480;лапша ручной вытяжки, говядина, болгарский перец, редька, стручковая фасоль, соевый соус;глютен, соя;380;18;1
Лагман жареный;Горячее;510;лапша ручной вытяжки, баранина, перец, лук, яйцо, кинза;глютен, яйцо;360;18;1
Шурпа из баранины;Супы;390;баранина на кости, картофель, морковь, лук, помидоры, болгарский перец, кинза, зира;нет;450;15;0
Мастава;Супы;340;рис, баранина, морковь, помидоры, лук, катык, укроп;молоко;400;15;0
Чучвара в бульоне;Супы;360;пельмени домашние, говядина, бульон, зелень, катык;глютен, яйцо, молоко;350;14;0
Манты с бараниной;Горячее;420;тесто, баранина, лук, курдючный жир, зира;глютен;300;22;0
Манты с тыквой;Горячее;380;тесто, тыква, лук, топлёное масло;глютен, молоко;300;22;0
Ханум;Горячее;390;тесто, картофель, лук, курдючный жир;глютен;320;25;0
Самса с бараниной;Выпечка;180;слоёное тесто, баранина, лук, зира, кунжут;глютен, кунжут;140;12;0
Самса с тыквой;Выпечка;160;слоёное тесто, тыква, лук, сахар;глютен;140;12;0
Самса с курицей и сыром;Выпечка;190;слоёное тесто, курица, сулугуни, зелень;глютен, молоко;150;12;0
Самса с зеленью;Выпечка;150;;;;12;
Люля-кебаб из баранины;Гриль;440;баранина рубленая, курдючный жир, лук, зира, кориандр;нет;220;16;1
Люля-кебаб из курицы;Гриль;380;курица рубленая, лук, паприка, кинза;нет;220;14;0
Шашлык из баранины;Гриль;560;баранина, лук, специи;нет;250;20;0
Шашлык из телятины;Гриль;590;телятина, лук маринованный, специи;нет;250;20;0
Шашлык из курицы;Гриль;390;куриное бедро, лук, паприка, чеснок;нет;250;16;0
Тандыр-кебаб;Гриль;620;баранина на кости, лук, зира, розмарин;нет;350;35;0
Курица в тандыре;Гриль;680;курица целиком, чеснок, паприка, лимон;нет;900;40;0
Ачичук;Салаты;220;помидоры, лук синий, перец чили, базилик, масло растительное;нет;200;5;2
Салат из редьки с зеленью;Салаты;240;редька зелёная, кинза, укроп, лук, масло кунжутное;кунжут;180;7;1
Салат ташкентский;Салаты;320;язык отварной, редька, лук фри, майонез, зелень;яйцо, горчица;200;10;0
Салат из баклажанов;Салаты;290;баклажаны жареные, помидоры, чеснок, кинза, орех грецкий;орехи;190;12;1
Хумус с лепёшкой;Закуски;280;нут, тахини, чеснок, лимон, оливковое масло, паприка;кунжут, глютен;200;8;0
Долма в виноградных листьях;Закуски;340;виноградные лисья, баранина, рис, лук, зира, катык;молоко;220;20;0
Казы с зеленью;Закуски;520;колбаса конская варёная, лук, зелень;нет;150;7;0
Сыр сулугуни на гриле;Закуски;350;сулугуни, томаты черри, базилик, оливковое масло;молоко;180;10;0
Лепёшка обинони;Выпечка;90;мука, вода, соль, кунжут;глютен, кунжут;250;15;0
Лепёшка с зирой;Выпечка;110;мука, вода, соль, зира, кунжут;глютен, кунжут;250;15;0
Патир;Выпечка;140;мука, масло топлёное, соль, кунжут;глютен, молоко, кунжут;280;18;0
Катлама;Выпечка;170;тесто слоёное, лук, курдючный жир;глютен;200;16;0
Чай зелёный с жасмином;Напитки;190;чайный лист зелёный, жасмин;нет;1000;5;
Чай чёрный;Напитки;170;чайный лист чёрный;нет;1000;5;
Чай с чабрецом и мёдом;Напитки;230;чайный лист, чабрец, мёд, лимон;мёд;1000;6;
Чай облепиховый;Напитки;280;облепиха, мёд, апельсин, чайный лист;мёд;500;7;
Айран;Напитки;150;катык, вода, соль, укроп;молоко;300;3;
Компот из сухофруктов;Напитки;140;курага, изюм, чернослив, яблоко, сахар;;500;;
Морс клюквенный;Напитки;160;клюква, сахар, вода;нет;500;4;
Лимонад домашний;Напитки;190;лимон, мята, сахар, газированная вода;нет;500;5;
Кофе по-восточному;Напитки;220;кофе молотый, кардамон, сахар;нет;100;7;
Чак-чак;Десерты;240;мука, яйцо, мёд, масло;глютен, яйцо, мёд;150;5;
Халва кунжутная;Десерты;210;кунжут, сахар, глюкозный сироп;кунжут;120;3;
Пахлава;Десерты;280;тесто слоёное, орех грецкий, мёд, масло топлёное;глютен, орехи, мёд, молоко;140;5;
Навват;Десерты;120;кристаллический сахар;нет;100;2;
Сухофрукты и орехи;Десерты;330;курага, изюм, инжир, миндаль, грецкий орех, фисташки;орехи;200;3;
Мёд с грецким орехом;Десерты;260;мёд горный, орех грецкий;мёд, орехи;120;3;
Мороженое с топлёным молоком;Десерты;230;;;100;4;
